,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size
0,1,1,0.6635686267095928,0.75115,29.898079872131348,30.018046379089355,0.01,10
1,1,2,0.5540836490872316,0.7980666666666667,29.76266837120056,59.89687633514404,0.01,10
2,1,3,0.52073063613259,0.8097666666666666,29.4795024394989,89.48598170280457,0.01,10
3,2,1,0.5662334090719621,0.7829,8.997941493988037,9.182791948318481,0.01,100
4,2,2,0.381366843705376,0.8575,10.409986734390259,19.705442190170288,0.01,100
5,2,3,0.3571182213475307,0.8689,9.257967472076416,29.070966720581055,0.01,100
6,3,1,0.5689136464177476,0.7858,28.850138664245605,28.95782232284546,0.001,10
7,3,2,0.3846800465757648,0.85785,27.698891162872314,56.77061939239502,0.001,10
8,3,3,0.333535066293863,0.8768166666666667,28.439311981201172,85.3154067993164,0.001,10
9,4,1,0.763809179365635,0.7110666666666666,9.168766975402832,9.36389946937561,0.001,100
10,4,2,0.5076763486862182,0.8096666666666666,8.440851211547852,17.91599941253662,0.001,100
11,4,3,0.43704389477769534,0.84065,9.216522216796875,27.242982625961304,0.001,100
